date,amount,description,account
2024-01-01,-19.74,Purchase at Uber,Checking
2024-01-01,-15.03,Purchase at Netflix,Checking
2024-01-01,5000.0,Salary Credit,Checking
2024-01-02,-6.7,Purchase at Starbucks,Credit Card
2024-01-02,-26.65,Purchase at Udemy Course,Checking
2024-01-02,-58.14,Purchase at Internet Pro,Checking
2024-01-03,-346.19,Purchase at Airline X,Checking
2024-01-03,5459.46,Purchase at Employer Inc,Credit Card
2024-01-04,-51.6,Purchase at Shell Petrol,Credit Card
2024-01-04,-14.22,Purchase at KFC,Credit Card
2024-01-05,-45.61,Purchase at Shell Petrol,Credit Card
2024-01-05,-65.77,Purchase at Target,Savings
2024-01-05,-9.3,Purchase at Spotify,Checking
2024-01-05,-15.99,Netflix Subscription,Credit Card
2024-01-06,-86.44,Purchase at Whole Foods,Savings
2024-01-07,-32.96,Purchase at Udemy Course,Savings
2024-01-07,-15.93,Purchase at KFC,Savings
2024-01-08,-17.98,Purchase at KFC,Credit Card
2024-01-08,-20.6,Purchase at Uber,Checking
2024-01-09,-81.08,Purchase at Amazon,Credit Card
2024-02-01,5209.66,Purchase at Employer Inc,Checking
2024-02-01,5000.0,Salary Credit,Checking
2024-02-02,-71.52,Purchase at Internet Pro,Credit Card
2024-02-03,-71.8,Purchase at Amazon,Savings
2024-02-04,-9.0,Purchase at Spotify,Savings
2024-02-05,-15.99,Netflix Subscription,Credit Card
2024-02-06,-50.77,Purchase at Bistro 7,Checking
2024-02-07,-23.28,Purchase at Cinema Plaza,Credit Card
2024-02-08,-138.1,Purchase at Walmart,Savings
2024-02-15,-35.0,Gym Membership,Credit Card
2024-02-17,-291.75,Purchase at Costco,Checking
2024-02-19,5253.5,Purchase at Employer Inc,Checking
2024-02-20,-75.86,Purchase at Electric Co,Savings
2024-02-28,-355.56,Purchase at Airline X,Credit Card
2024-03-01,-91.18,Purchase at Whole Foods,Checking
2024-03-01,5000.0,Salary Credit,Checking
2024-03-02,5703.43,Purchase at Employer Inc,Checking
2024-03-05,-15.99,Netflix Subscription,Credit Card
2024-03-15,-35.0,Gym Membership,Credit Card
2024-03-15,-310.42,Purchase at Airline X,Savings
2024-03-20,5855.35,Purchase at Employer Inc,Savings
2024-03-24,-77.39,Purchase at Electric Co,Credit Card
2024-04-01,5000.0,Salary Credit,Checking
2024-04-05,-15.99,Netflix Subscription,Credit Card
2024-04-08,4066.73,Purchase at Employer Inc,Checking
2024-04-15,-35.0,Gym Membership,Credit Card
2024-04-21,-313.86,Purchase at Airline X,Savings
2024-04-22,4761.81,Purchase at Employer Inc,Credit Card
2024-05-01,5553.67,Purchase at Employer Inc,Checking
2024-05-01,5000.0,Salary Credit,Checking
2024-05-05,-15.99,Netflix Subscription,Credit Card
2024-05-09,-353.31,Purchase at Airline X,Checking
2024-05-15,-35.0,Gym Membership,Credit Card
2024-05-16,4666.72,Purchase at Employer Inc,Checking
2024-06-01,5000.0,Salary Credit,Checking
2024-06-02,5978.25,Purchase at Employer Inc,Credit Card
2024-06-05,-15.99,Netflix Subscription,Credit Card
2024-06-08,-333.45,Purchase at Airline X,Credit Card
2024-06-15,-35.0,Gym Membership,Credit Card
2024-06-20,5533.92,Purchase at Employer Inc,Savings
